ID;Domain;Solution;Solution Abb;UC;Catégory;Item;Cash Out Type;Cash In Type;Cash Out;Cash In;ASU Min;ASU MAX;Deploy Price MIN;Deploy Price MAX;Paas;Mark Up
38;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1401 - 1500 - PaaS;Opex;Recurring;216 354;287 751;1401;1500;NA#;NA#;216354;33%
39;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1501 - 1600 - PaaS;Opex;Recurring;218 708;290 882;1501;1600;NA#;NA#;218708;33%
40;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1601 - 1700 - PaaS;Opex;Recurring;240 750;320 198;1601;1700;NA#;NA#;240750;33%
41;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1701 - 1800 - PaaS;Opex;Recurring;243 104;323 328;1701;1800;NA#;NA#;243104;33%
42;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1801 - 1900 - PaaS;Opex;Recurring;257 656;342 682;1801;1900;NA#;NA#;257656;33%
43;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 1901 - 2000 - PaaS;Opex;Recurring;260 010;345 813;1901;2000;NA#;NA#;260010;33%
44;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;ALL;NTT Accelerate SMART;O&N - ASU Range 2001 - 2100 - PaaS;Opex;Recurring;282 052;375 129;2001;2100;NA#;NA#;282052;33%
45;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 1 - 50 - Deployment & set-up;Deployment & set-up;Deployment & set-up;72 900;96 957;1;50;55890;89910;NA#;33%
46;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 51 - 100 - Deployment & set-up;Deployment & set-up;Deployment & set-up;136 825;181 977;51;100;119815;153835;NA#;33%
47;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 101 - 150 - Deployment & set-up;Deployment & set-up;Deployment & set-up;179 350;238 535;101;150;162340;196360;NA#;33%
48;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 151 - 200 - Deployment & set-up;Deployment & set-up;Deployment & set-up;221 875;295 094;151;200;204865;238885;NA#;33%
49;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 201 - 250 - Deployment & set-up;Deployment & set-up;Deployment & set-up;264 400;351 652;201;250;247390;281410;NA#;33%
50;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 251 - 300 - Deployment & set-up;Deployment & set-up;Deployment & set-up;306 925;408 210;251;300;289915;323935;NA#;33%
51;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 301 - 350 - Deployment & set-up;Deployment & set-up;Deployment & set-up;349 450;464 768;301;350;332440;366460;NA#;33%
52;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 351 - 400 - Deployment & set-up;Deployment & set-up;Deployment & set-up;391 975;521 327;351;400;374965;408985;NA#;33%
53;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 401 - 450 - Deployment & set-up;Deployment & set-up;Deployment & set-up;477 300;634 809;401;450;460290;494310;NA#;33%
54;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 451 - 500 - Deployment & set-up;Deployment & set-up;Deployment & set-up;519 825;691 367;451;500;502815;536835;NA#;33%
55;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 501 - 550 - Deployment & set-up;Deployment & set-up;Deployment & set-up;562 350;747 926;501;550;545340;579360;NA#;33%
56;NTT Accelerate Smart Solutions;Missing Person;MP;ALL;NTT Accelerate SMART;MP - ASU Range 551 - 600 - Deployment & set-up;Deployment & set-up;Deployment & set-up;604 875;804 484;551;600;587865;621885;NA#;33%
