;;;;;;Quantifiable impact;;;;;;NQB;;;
ID;Domain;Solution;Solution Abb;Use Case;Benefits Category;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
298;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,6;NA#;NA#
299;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,8;NA#;NA#
416;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
417;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,8;NA#;NA#
476;NTT Accelerate Smart Solutions;Missing Person;MP;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
656;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;5;0,8;NA#;NA#
716;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;5;0,8;NA#;NA#
776;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,8;NA#;NA#
777;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
778;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
836;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,8;NA#;NA#
837;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
838;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
1076;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Roads;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,6;NA#;NA#
1077;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1136;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,6;NA#;NA#
1137;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1196;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Airports;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1197;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Airports;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1256;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1257;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1316;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1317;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1376;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1377;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1436;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1437;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1496;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Airports;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1497;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Airports;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1556;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1557;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1616;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1617;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1676;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1677;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Event, Cultural & Sports Facilities;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1736;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1737;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1796;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1797;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1856;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1857;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1916;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1917;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
1976;NTT Accelerate Smart Solutions;Back to Work Package;BW;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
1977;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
2036;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;8;0,8;NA#;NA#
2037;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,4;NA#;NA#
