;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
ID;;Use Case;;Section;;Sub-Section;;Item;;;;;Quantifiable impact;;;;;Non quantifiable impact;;Zone 1 (USA);Zone 1 (USA);Zone 2;Zone 2;Zone 3;Zone 3;Zone 4;Zone 4;Zone 5;Zone 5;Zone 6;Zone 6;Zone 7;Zone 7;Zone 8;Zone 8;Zone 9;Zone 9;Zone 10;Zone 10
#;Item ID;Use Case Name;Use Case Venue;ID;Name;ID;Name;Item #;Benefits Item;Reference Unit;Comments;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
24;Occupancy and Notification-Parks-7.6-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #4;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
25;Occupancy and Notification-Parks-7.6-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #5;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
26;Occupancy and Notification-Parks-7.6-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #6;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
27;Occupancy and Notification-Parks-7.6-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #7;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
28;Occupancy and Notification-Parks-7.6-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #8;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
29;Occupancy and Notification-Parks-7.6-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #9;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
30;Occupancy and Notification-Parks-7.6-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,6;O&N - Parks - Customer - Cash Releasing Benefits ;Item #10;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
31;Occupancy and Notification-Parks-7.7-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #1;Reduction of Violent Crime -  Murders;Current # of murder(s) within and near park each month;O&N-Parks-I.3.1;-30%;-30%;0%;0%;;;NA#;NA#; $1 100 000,00 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
32;Occupancy and Notification-Parks-7.7-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #2;Reduction of Violent Crime -  Rape;Current # of rape(s) within and near park each month;O&N-Parks-I.3.2;-30%;-30%;0%;0%;;;NA#;NA#; $450,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
33;Occupancy and Notification-Parks-7.7-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #3;Reduction of Violent Crime -  Robbery;Current # of robberies within and near park each month;O&N-Parks-I.3.3;-30%;-30%;0%;0%;;;NA#;NA#; $1 500,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
34;Occupancy and Notification-Parks-7.7-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #4;Reduction of Violent Crime -  Aggravated assaults;Current # of aggravated assault(s) within and near park each month;O&N-Parks-I.3.4;-30%;-30%;0%;0%;;;NA#;NA#; $700,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
35;Occupancy and Notification-Parks-7.7-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #5;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
36;Occupancy and Notification-Parks-7.7-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #6;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
37;Occupancy and Notification-Parks-7.7-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #7;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
38;Occupancy and Notification-Parks-7.7-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #8;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
39;Occupancy and Notification-Parks-7.7-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #9;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
40;Occupancy and Notification-Parks-7.7-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,7;O&N - Parks - Customer - Wider Cash Benefits ;Item #10;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#
41;Occupancy and Notification-Parks-7.8-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #1;Community cohesion - Increase of community activities held in premises;Current # of  community activities held in premises each month;O&N-Parks-I.4.1;20%;20%;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
42;Occupancy and Notification-Parks-7.8-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #2;Community cohesion - Increase of volunteer hours held in premises;Current # of  volunteers hours spent in premises each month;O&N-Parks-I.4.1;20%;20%;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
43;Occupancy and Notification-Parks-7.8-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #3;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
44;Occupancy and Notification-Parks-7.8-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #4;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
45;Occupancy and Notification-Parks-7.8-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #5;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
46;Occupancy and Notification-Parks-7.8-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #6;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
47;Occupancy and Notification-Parks-7.8-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #7;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
48;Occupancy and Notification-Parks-7.8-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #8;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
49;Occupancy and Notification-Parks-7.8-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #9;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
50;Occupancy and Notification-Parks-7.8-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,8;O&N - Parks - Customer - Quantifiable, non-monetizable benefits ;Item #10;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
51;Occupancy and Notification-Parks-7.9-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #1;Increased in general well-being of city residents;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.1;NA#;NA#;NA#;NA#;;;5;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
52;Occupancy and Notification-Parks-7.9-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #2;Enhanced sense of community;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.2;NA#;NA#;NA#;NA#;;;6;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
53;Occupancy and Notification-Parks-7.9-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #3;Improved sense of security;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.3;NA#;NA#;NA#;NA#;;;9;90%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
54;Occupancy and Notification-Parks-7.9-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #4;Increased efficiency of  public policy to administer public assets;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.4;NA#;NA#;NA#;NA#;;;4;60%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
55;Occupancy and Notification-Parks-7.9-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #5;Improvement of citizens health due to physical activity;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.5;NA#;NA#;NA#;NA#;;;4;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
56;Occupancy and Notification-Parks-7.9-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #6;Enhanced user satisfaction and experience;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.6;NA#;NA#;NA#;NA#;;;5;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
57;Occupancy and Notification-Parks-7.9-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7,9;O&N - Parks - Customer - Non quantifiable  benefits ;Item #7;;;;NA#;NA#;NA#;NA#;;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#
