;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
ID;;Section;;Sub-Section;;Category;;Item;;;;ASU;;ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 10;ZONE 10
#;Item ID;ID;Name;ID;Name;ID;Name;#;Name;Ref Unit;Comments;ASU min;ASU max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max
42;Metrics-3.1-Item #26;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #26;Power - M;#Units;;400;1099;$0;$0;;;;;;;;;;;;;;;;;;
43;Metrics-3.1-Item #27;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #27;Power - L;#Units;;1100;2000;$0;$0;;;;;;;;;;;;;;;;;;
44;Metrics-3.1-Item #28;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #28;Core Infra - XS;#Units;;1;49;$0;$0;;;;;;;;;;;;;;;;;;
45;Metrics-3.1-Item #29;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #29;Core Infra - S;#Units;;50;399;$0;$0;;;;;;;;;;;;;;;;;;
46;Metrics-3.1-Item #30;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #30;Core Infra - M;#Units;;400;1099;$0;$0;;;;;;;;;;;;;;;;;;
47;Metrics-3.1-Item #31;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #31;Core Infra - L;#Units;;1100;2000;$0;$0;;;;;;;;;;;;;;;;;;
48;Metrics-3.1-Item #32;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #32;Windows Server 2016;#Units;;;;;;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #33;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #33;;;;;;;;;;;;;;;;;;;;;;;;;
42;Metrics-3.1-Item #34;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #34;;;;;;;;;;;;;;;;;;;;;;;;;
43;Metrics-3.1-Item #35;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;NA#;Item #35;;;;;;;;;;;;;;;;;;;;;;;;;
