1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;;;
ID;;Section;;Sub-Section;;Smart Usecase Range Values;;;;;ZONE 1 (USA);ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 9;ZONE 10;ZONE 10;ZONE 10;;;
#;Item ID;ID;Name;ID;Name;ASU Range Min;ASU Range Max;Base;EPU;M/O;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;;Name;Name
331;TVI-4.2.1-Item #5;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;201;250;3;5;Small;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;$247 390;$281 410;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
332;TVI-4.2.1-Item #6;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;251;300;3;6;Small;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;$289 915;$323 935;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
333;TVI-4.2.1-Item #7;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;301;350;4;7;Small;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;$332 440;$366 460;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
334;TVI-4.2.1-Item #8;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;351;400;4;8;Small;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;$374 965;$408 985;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
335;TVI-4.2.1-Item #9;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;401;450;5;9;Medium;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;$460 290;$494 310;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
336;TVI-4.2.1-Item #10;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;451;500;5;10;Medium;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;$502 815;$536 835;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
337;TVI-4.2.1-Item #11;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;501;550;6;11;Medium;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;$545 340;$579 360;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
338;TVI-4.2.1-Item #12;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;551;600;6;12;Medium;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;$587 865;$621 885;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
339;TVI-4.2.1-Item #13;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;601;650;7;13;Medium;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;$630 390;$664 410;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
340;TVI-4.2.1-Item #14;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;651;700;7;14;Medium;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;$672 915;$706 935;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
341;TVI-4.2.1-Item #15;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;701;750;8;15;Medium;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;$715 440;$749 460;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
342;TVI-4.2.1-Item #16;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;751;800;8;16;Medium;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;$757 965;$791 985;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
343;TVI-4.2.1-Item #17;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;801;850;9;17;Medium;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;$800 490;$834 510;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
344;TVI-4.2.1-Item #18;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;851;900;9;18;Medium;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;$843 015;$877 035;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
345;TVI-4.2.1-Item #19;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;901;950;10;19;Medium;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;$885 540;$919 560;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
346;TVI-4.2.1-Item #20;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;951;1000;10;20;Medium;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;$928 065;$962 085;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
347;TVI-4.2.1-Item #21;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1001;1050;11;21;Medium;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;$970 590;$1 004 610;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
348;TVI-4.2.1-Item #22;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1051;1100;11;22;Medium;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;$1 013 115;$1 047 135;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
349;TVI-4.2.1-Item #23;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1101;1150;12;23;Large;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;$1 098 440;$1 132 460;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
350;TVI-4.2.1-Item #24;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1151;1200;12;24;Large;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;$1 140 965;$1 174 985;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
351;TVI-4.2.1-Item #25;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1201;1250;13;25;Large;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;$1 183 490;$1 217 510;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
352;TVI-4.2.1-Item #26;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1251;1300;13;26;Large;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;$1 226 015;$1 260 035;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
353;TVI-4.2.1-Item #27;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1301;1350;14;27;Large;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;$1 268 540;$1 302 560;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
354;TVI-4.2.1-Item #28;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1351;1400;14;28;Large;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;$1 311 065;$1 345 085;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
355;TVI-4.2.1-Item #29;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1401;1450;15;29;Large;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;$1 353 590;$1 387 610;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
356;TVI-4.2.1-Item #30;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1451;1500;15;30;Large;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;$1 396 115;$1 430 135;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
357;TVI-4.2.1-Item #31;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1501;1550;16;31;Large;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;$1 438 640;$1 472 660;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
358;TVI-4.2.1-Item #32;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1551;1600;16;32;Large;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;$1 481 165;$1 515 185;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
359;TVI-4.2.1-Item #33;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1601;1650;17;33;Large;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;$1 523 690;$1 557 710;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
360;TVI-4.2.1-Item #34;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1651;1700;17;34;Large;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;$1 566 215;$1 600 235;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
361;TVI-4.2.1-Item #35;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1701;1750;18;35;Large;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;$1 608 740;$1 642 760;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
362;TVI-4.2.1-Item #36;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1751;1800;18;36;Large;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;$1 651 265;$1 685 285;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
363;TVI-4.2.1-Item #37;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1801;1850;19;37;Large;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;$1 693 790;$1 727 810;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
364;TVI-4.2.1-Item #38;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1851;1900;19;38;Large;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;$1 736 315;$1 770 335;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
365;TVI-4.2.1-Item #39;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1901;1950;20;39;Large;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;$1 778 840;$1 812 860;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
366;TVI-4.2.1-Item #40;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up;1951;2000;20;40;Large;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;$1 821 365;$1 855 385;NA#;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - Deployment & set-up
367;TVI-4.2.1-Item #1;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;1;50;1;1;-;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;NA#;NA#;$9 844;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
368;TVI-4.2.1-Item #2;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;51;100;1;2;Small;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;NA#;NA#;$25 038;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
369;TVI-4.2.1-Item #3;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;101;150;2;3;Small;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
370;TVI-4.2.1-Item #4;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;151;200;2;4;Small;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
371;TVI-4.2.1-Item #5;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;201;250;3;5;Small;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;NA#;NA#;$47 080;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
372;TVI-4.2.1-Item #6;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;251;300;3;6;Small;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;NA#;NA#;$49 434;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
373;TVI-4.2.1-Item #7;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;301;350;4;7;Small;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;NA#;NA#;$59 278;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
374;TVI-4.2.1-Item #8;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;351;400;4;8;Small;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;NA#;NA#;$61 632;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
375;TVI-4.2.1-Item #9;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;401;450;5;9;Medium;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;NA#;NA#;$101 436;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
376;TVI-4.2.1-Item #10;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;451;500;5;10;Medium;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;NA#;NA#;$103 790;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
377;TVI-4.2.1-Item #11;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;501;550;6;11;Medium;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;NA#;NA#;$113 634;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
378;TVI-4.2.1-Item #12;4.;TVI - NTT;4.1; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS ;551;600;6;12;Medium;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;NA#;NA#;$115 988;;TVI - NTT; Traffic – Vehicle of Interest  - NTT Accelerate SMART - PaaS 
