1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;;;
ID;;Section;;Sub-Section;;Smart Usecase Range Values;;;;;ZONE 1 (USA);ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 9;ZONE 10;ZONE 10;ZONE 10;;;
#;Item ID;ID;Name;ID;Name;ASU Range Min;ASU Range Max;Base;EPU;M/O;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;;Name;Name
21;O&N-4.2.1-Item #21;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;1901;2000;15;40;Large;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;$2 122 685;$2 202 065;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
22;O&N-4.2.1-Item #22;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up;2001;2100;17;43;Large;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;$2 221 910;$2 301 290;NA#;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - Deployment & set-up
23;O&N-4.2.1-Item #1;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1;50;2;3;-;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;NA#;NA#;$22 042;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
24;O&N-4.2.1-Item #2;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;51;100;2;3;Small;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;NA#;NA#;$34 882;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
25;O&N-4.2.1-Item #3;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;101;200;2;4;Small;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;NA#;NA#;$37 236;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
26;O&N-4.2.1-Item #4;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;201;300;3;7;Small;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;NA#;NA#;$51 788;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
27;O&N-4.2.1-Item #5;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;301;400;3;8;Small;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;NA#;NA#;$54 142;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
28;O&N-4.2.1-Item #6;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;401;500;5;11;Medium;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;NA#;NA#;$106 144;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
29;O&N-4.2.1-Item #7;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;501;600;5;12;Medium;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;NA#;NA#;$108 498;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
30;O&N-4.2.1-Item #8;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;601;700;6;15;Medium;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;NA#;NA#;$123 050;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
31;O&N-4.2.1-Item #9;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;701;800;6;16;Medium;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;NA#;NA#;$125 404;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
32;O&N-4.2.1-Item #10;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;801;900;8;19;Medium;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;NA#;NA#;$147 446;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
33;O&N-4.2.1-Item #11;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;901;1000;8;20;Medium;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;NA#;NA#;$149 800;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
34;O&N-4.2.1-Item #12;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1001;1100;9;23;Medium;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;NA#;NA#;$164 352;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
35;O&N-4.2.1-Item #13;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1101;1200;9;24;Large;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;NA#;NA#;$177 406;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
36;O&N-4.2.1-Item #14;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1201;1300;11;27;Large;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;NA#;NA#;$199 448;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
37;O&N-4.2.1-Item #15;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1301;1400;11;28;Large;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;NA#;NA#;$201 802;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
38;O&N-4.2.1-Item #16;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1401;1500;12;31;Large;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;NA#;NA#;$216 354;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
39;O&N-4.2.1-Item #17;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1501;1600;12;32;Large;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;NA#;NA#;$218 708;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
40;O&N-4.2.1-Item #18;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1601;1700;14;35;Large;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;NA#;NA#;$240 750;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
41;O&N-4.2.1-Item #19;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1701;1800;14;36;Large;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;NA#;NA#;$243 104;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
42;O&N-4.2.1-Item #20;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1801;1900;15;39;Large;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;NA#;NA#;$257 656;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
43;O&N-4.2.1-Item #21;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;1901;2000;15;40;Large;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;NA#;NA#;$260 010;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
44;O&N-4.2.1-Item #22;4.;O&N - NTT;4.1;Occupancy and Notification - NTT Accelerate SMART - PaaS ;2001;2100;17;43;Large;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;NA#;NA#;$282 052;;O&N - NTT;Occupancy and Notification - NTT Accelerate SMART - PaaS 
45;MP-4.2.1-Item #1;4.;MP - NTT;4.1;Missing Person - NTT Accelerate SMART - Deployment & set-up;1;50;1;1;-;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;;MP - NTT;Missing Person - NTT Accelerate SMART - Deployment & set-up
46;MP-4.2.1-Item #2;4.;MP - NTT;4.1;Missing Person - NTT Accelerate SMART - Deployment & set-up;51;100;1;2;Small;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;;MP - NTT;Missing Person - NTT Accelerate SMART - Deployment & set-up
47;MP-4.2.1-Item #3;4.;MP - NTT;4.1;Missing Person - NTT Accelerate SMART - Deployment & set-up;101;150;2;3;Small;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;$162 340;$196 360;NA#;;MP - NTT;Missing Person - NTT Accelerate SMART - Deployment & set-up
